id,value
id_0,5.232187359081733
id_1,14.532232364559556
id_2,15.679652739406098
id_3,5.871336098556005
id_4,27.7612623133463
id_5,23.73813731816578
id_6,27.018035801225796
id_7,30.438442414196277
id_8,16.334706014518176
id_9,63.61998312592299
id_10,7.117057024483558
id_11,7.0867150372411345
id_12,58.53362366384016
id_13,53.23431236115688
id_14,24.917997016170144
id_15,12.410513995961733
id_16,32.696812009571296
id_17,64.74080027490962
id_18,-7.979152733203306
id_19,19.01247578361833
id_20,41.432431655610536
id_21,61.59469463959046
id_22,8.5604532160812
id_23,18.90920927363642
id_24,14.578735325712469
id_25,37.60662386341144
id_26,13.363765044914762
id_27,71.75592823487133
id_28,10.805042939009084
id_29,57.627453070732855
id_30,23.16455177160332
id_31,7.839033073697017
id_32,4.742819464182142
id_33,16.51611134107133
id_34,24.817119573223998
id_35,37.7613878225983
id_36,41.85854468193718
id_37,31.572129723560874
id_38,48.0365317297283
id_39,36.44228094828448
id_40,2.6224125506762044
id_41,43.29272089612464
id_42,25.94277792027086
id_43,43.39975783964546
id_44,20.10012339258673
id_45,33.12669313385182
id_46,25.86220435024449
id_47,7.5539404816828215
id_48,25.765125807243322
id_49,26.36541364089416
id_50,21.227465492816606
id_51,8.029318964761254
id_52,11.248614076335278
id_53,56.17897130544472
id_54,14.887274080597315
id_55,36.26727838050197
id_56,31.66947086907035
id_57,18.75961589009615
id_58,54.76134617263886
id_59,26.66286393007733
id_60,14.02839032591424
id_61,37.96845341690611
id_62,13.655996841161672
id_63,47.26693861933172
id_64,11.010481792076684
id_65,13.377243065584855
id_66,11.633842401618626
id_67,2.1854776954379704
id_68,41.94247654374726
id_69,34.859288474351104
id_70,21.016243924646574
id_71,39.64944054384431
id_72,57.07553934202669
id_73,2.0111971141662504
id_74,17.75670318725192
id_75,3.4327728069095333
id_76,37.21165540225033
id_77,14.749396670962682
id_78,27.011021428579745
id_79,19.987773705444717
id_80,20.525284431597758
id_81,30.870041972519502
id_82,30.026813188474804
id_83,94.5170388495639
id_84,37.43339760969799
id_85,30.197842092419002
id_86,20.15757762497198
id_87,35.95933932625811
id_88,24.845687634459363
id_89,14.91571949724063
id_90,33.73775860435759
id_91,40.80455095349301
id_92,2.216238905086092
id_93,35.72041117353076
id_94,44.09183469446805
id_95,17.312326038865002
id_96,30.207332931646338
id_97,13.636533037703323
id_98,21.985888059466845
id_99,4.55763543369093
id_100,19.37359959777616
id_101,27.498401088527498
id_102,8.496222511286344
id_103,13.443412858192094
id_104,22.78106820921586
id_105,38.36218315682219
id_106,29.803483555954042
id_107,6.642287027544577
id_108,3.0732013285837003
id_109,78.03229830294254
id_110,47.624563423897825
id_111,20.844723680022817
id_112,24.84312759326543
id_113,12.797000975178547
id_114,12.73857881884764
id_115,26.57209636072171
id_116,29.404094810667424
id_117,7.413088247103937
id_118,19.027692313935543
id_119,17.932105937611066
id_120,85.24405943421147
id_121,25.107030703562092
id_122,35.83110384786046
id_123,24.753539282066825
id_124,3.980937226636343
id_125,37.30161766154923
id_126,6.332537247728377
id_127,27.6719456468343
id_128,28.297250984850894
id_129,65.51784230262308
id_130,22.428189191341083
id_131,24.840872922050035
